1,'Business Research',149,fac1
2,'Psychology',27,fac2
3,'Astronomy',188,fac3
4,'Biological Anthropology',82,fac4
5,'Chemistry',58,fac5
6,'Orthopaedic Surgery',850,fac6
7,'Metallurgy',902,fac7
8,'Lab1',633,fac8
9,'Plant Sciences',284,fac9
10,'Orthopaedic Surgery',592,fac1
11,'Astronomy',546,fac2
12,'Neo-Latin',341,fac3
13,'turbomachinery',336,fac4
14,'Clinical pharmacology',271,fac5
15,'Orthopaedic Surgery',856,fac6
16,'Modern Greek',281,fac7
17,'Lab4',634,fac8
18,'Energy',706,fac9
19,'Modern Greek',461,fac1
20,'Earth Sciences',765,fac2
21,'Information engineering',159,fac3
22,'Scientific Research',298,fac4
23,'Trauma and Orthopaedic Surgery',766,fac5
24,'Brain mapping unit',901,fac6
25,'Lab3',376,fac7
26,'Archaeology',155,fac8
27,'Neo-Latin',801,fac9
28,'Lab2',5,fac1
29,'Arabic',778,fac2
30,'Lab3',948,fac3
31,'Lab3',322,fac4
32,'Pathology',771,fac5
33,'Business Research',832,fac6
34,'Astronomy',634,fac7
35,'Brain mapping unit',650,fac8
36,'Scientific Research',543,fac9
37,'Plant Sciences',101,fac1
38,'Lab2',473,fac2
39,'Brain mapping unit',543,fac3
40,'Biological Anthropology',745,fac4
41,'The Polar Museum',344,fac5
42,'German',850,fac6
43,'American Studies',119,fac7
44,'Acadamic Research',497,fac8
45,'Physics',827,fac9
46,'Modern Greek',989,fac1
47,'Business Research',284,fac2
48,'Genetics',778,fac3
49,'Biochemistry',794,fac4
50,'Arabic',693,fac5
51,'Lab1',925,fac6
52,'Civil engineering',844,fac7
53,'Psychology',298,fac8
54,'Biochemistry',498,fac9
55,'American Studies',99,fac1
56,'Civil engineering',689,fac2
57,'German',39,fac3
58,'French',806,fac4
59,'Chemistry',372,fac5
60,'Physics',343,fac6
61,'Modern Greek',332,fac7
62,'Psychology',920,fac8
63,'Chemistry',58,fac9
64,'Development Studies',343,fac1
65,'Civil engineering',414,fac2
66,'Civil engineering',89,fac3
67,'Plant Sciences',662,fac4
68,'Information engineering',619,fac5
69,'Earth Sciences',836,fac6
70,'Civil engineering',147,fac7
71,'Astronomy',206,fac8
72,'Biochemistry',852,fac9
73,'Astronomy',836,fac1
74,'Lab1',513,fac2
75,'French',616,fac3
76,'Lab2',104,fac4
77,'Psychology',244,fac5
78,'turbomachinery',196,fac6
79,'Biological Anthropology',121,fac7
80,'Social Anthropology',209,fac8
81,'Transfusion medicine',318,fac9
82,'Archaeology',996,fac1
83,'American Studies',191,fac2
84,'Acadamic Research',556,fac3
85,'Astronomy',172,fac4
86,'Arabic',23,fac5
87,'Energy',610,fac6
88,'French',379,fac7
89,'Asian Studies',312,fac8
90,'Transfusion medicine',468,fac9
91,'Acadamic Research',584,fac1
92,'Lab2',418,fac2
93,'German',948,fac3
94,'Energy',309,fac4
95,'Social Anthropology',680,fac5
96,'Arabic',53,fac6
97,'Energy',279,fac7
98,'Arabic',181,fac8
99,'Arabic',330,fac9
100,'Psychology',500,fac1
101,'Lab4',690,fac2
102,'Arabic',802,fac3
103,'Business Research',581,fac4
104,'Genetics',425,fac5
105,'Plant Sciences',903,fac6
106,'Astronomy',411,fac7
107,'Brain mapping unit',543,fac8
108,'Biological Anthropology',305,fac9
109,'Lab3',417,fac1
110,'German',118,fac2
111,'Scientific Research',76,fac3
112,'Pathology',523,fac4
113,'Clinical pharmacology',28,fac5
114,'Pathology',587,fac6
115,'The Polar Museum',170,fac7
116,'Astronomy',398,fac8
117,'Lab4',441,fac9
118,'Asian Studies',144,fac1
119,'Chemistry',170,fac2
120,'Lab2',67,fac3
121,'Brain mapping unit',200,fac4
122,'The Polar Museum',926,fac5
123,'Scientific Research',277,fac6
124,'American Studies',664,fac7
125,'German',681,fac8
126,'Pathology',705,fac9
127,'Acadamic Research',215,fac1
128,'Lab2',174,fac2
129,'German',655,fac3
130,'Slavonic Studies',832,fac4
131,'Fluids',584,fac5
132,'Neo-Latin',995,fac6
133,'Neo-Latin',239,fac7
134,'German',932,fac8
135,'Scientific Research',965,fac9
136,'Orthopaedic Surgery',108,fac1
137,'Acadamic Research',409,fac2
138,'Earth Sciences',586,fac3
139,'Civil engineering',250,fac4
140,'Clinical pharmacology',680,fac5
141,'Development Studies',632,fac6
142,'Civil engineering',137,fac7
143,'French',759,fac8
144,'Lab2',86,fac9
145,'The Polar Museum',198,fac1
146,'Physics',583,fac2
147,'Genetics',886,fac3
148,'Asian Studies',839,fac4
149,'turbomachinery',474,fac5
150,'French',132,fac6
151,'Trauma and Orthopaedic Surgery',831,fac7
152,'Fluids',209,fac8
153,'Brain mapping unit',868,fac9
154,'Lab4',309,fac1
155,'Pathology',815,fac2
156,'Slavonic Studies',600,fac3
157,'Social Anthropology',840,fac4
158,'Information engineering',826,fac5
159,'Biochemistry',64,fac6
160,'Arabic',504,fac7
161,'Energy',782,fac8
162,'Neo-Latin',228,fac9
163,'Clinical pharmacology',698,fac1
164,'Lab1',165,fac2
165,'turbomachinery',779,fac3
166,'Energy',131,fac4
167,'Lab2',247,fac5
168,'Biochemistry',525,fac6
169,'Energy',978,fac7
170,'Computer Laboratory',804,fac8
171,'Neo-Latin',775,fac9
172,'Metallurgy',181,fac1
173,'Social Anthropology',71,fac2
174,'Orthopaedic Surgery',68,fac3
175,'Slavonic Studies',888,fac4
176,'Lab1',576,fac5
177,'Astronomy',227,fac6
178,'Pathology',971,fac7
179,'Brain mapping unit',263,fac8
180,'Biological Anthropology',858,fac9
181,'Physics',929,fac1
182,'Brain mapping unit',61,fac2
183,'Biological Anthropology',85,fac3
184,'Plant Sciences',297,fac4
185,'Acadamic Research',331,fac5
186,'Brain mapping unit',208,fac6
187,'Development Studies',211,fac7
188,'Lab3',235,fac8
189,'Fluids',570,fac9
190,'Lab1',143,fac1
191,'Biochemistry',553,fac2
192,'Pathology',557,fac3
193,'Pathology',933,fac4
194,'Archaeology',691,fac5
195,'Energy',346,fac6
196,'Lab4',417,fac7
197,'Physics',446,fac8
198,'Acadamic Research',802,fac9
199,'Lab4',109,fac1
200,'Computer Laboratory',469,fac2
201,'Acadamic Research',598,fac3
