1,'Brain mapping unit',95,'x0'
2,'Astronomy',120,'x1'
3,'Plant Sciences',276,'x2'
4,'Trauma and Orthopaedic Surgery',175,'x3'
5,'Clinical pharmacology',159,'x4'
6,'Biochemistry',154,'x5'
7,'French',341,'x6'
8,'Slavonic Studies',946,'x7'
9,'German',746,'x8'
10,'The Polar Museum',101,'x9'
11,'Slavonic Studies',856,'x10'
12,'Fluids',171,'x11'
13,'Energy',27,'x12'
14,'Transfusion medicine',417,'x13'
15,'Scientific Research',689,'x14'
16,'Information engineering',455,'x15'
17,'Development Studies',946,'x16'
18,'Slavonic Studies',809,'x17'
19,'Slavonic Studies',96,'x18'
20,'Lab2',827,'x19'
21,'Astronomy',534,'x20'
22,'Plant Sciences',695,'x21'
23,'Lab2',951,'x22'
24,'Metallurgy',844,'x23'
25,'Transfusion medicine',770,'x24'
26,'Astronomy',769,'x25'
27,'Slavonic Studies',553,'x26'
28,'Neo-Latin',602,'x27'
29,'Lab3',975,'x28'
30,'Computer Laboratory',23,'x29'
31,'Social Anthropology',278,'x30'
32,'Lab2',276,'x31'
33,'Biochemistry',989,'x32'
34,'Computer Laboratory',753,'x33'
35,'Information engineering',255,'x34'
36,'Astronomy',308,'x35'
37,'turbomachinery',783,'x36'
38,'Civil engineering',704,'x37'
39,'Business Research',173,'x38'
40,'German',712,'x39'
41,'Earth Sciences',897,'x40'
42,'Archaeology',498,'x41'
43,'Development Studies',662,'x42'
44,'Business Research',461,'x43'
45,'Archaeology',473,'x44'
46,'German',667,'x45'
47,'The Polar Museum',781,'x46'
48,'French',205,'x47'
49,'Civil engineering',161,'x48'
50,'Acadamic Research',772,'x49'
51,'Development Studies',865,'x50'
52,'Clinical pharmacology',782,'x51'
53,'Biological Anthropology',873,'x52'
54,'Lab2',644,'x53'
55,'Metallurgy',138,'x54'
56,'Neo-Latin',799,'x55'
57,'French',455,'x56'
58,'Slavonic Studies',31,'x57'
59,'turbomachinery',25,'x58'
60,'Transfusion medicine',876,'x59'
61,'Lab2',91,'x60'
62,'Neo-Latin',465,'x61'
63,'Business Research',734,'x62'
64,'Psychology',638,'x63'
65,'Metallurgy',221,'x64'
66,'turbomachinery',913,'x65'
67,'Social Anthropology',941,'x66'
68,'Pathology',321,'x67'
69,'Information engineering',544,'x68'
70,'Lab4',368,'x69'
71,'Physics',384,'x70'
72,'Arabic',836,'x71'
73,'Energy',515,'x72'
74,'Earth Sciences',293,'x73'
75,'Neo-Latin',389,'x74'
76,'Civil engineering',433,'x75'
77,'Clinical pharmacology',9,'x76'
78,'The Polar Museum',320,'x77'
79,'Trauma and Orthopaedic Surgery',405,'x78'
80,'Psychology',475,'x79'
81,'Social Anthropology',330,'x80'
82,'Transfusion medicine',793,'x81'
83,'American Studies',629,'x82'
84,'Acadamic Research',486,'x83'
85,'Information engineering',981,'x84'
86,'Brain mapping unit',792,'x85'
87,'Scientific Research',169,'x86'
88,'French',271,'x87'
89,'Asian Studies',757,'x88'
90,'Business Research',768,'x89'
91,'Orthopaedic Surgery',425,'x90'
92,'Genetics',370,'x91'
93,'Astronomy',162,'x92'
94,'Earth Sciences',230,'x93'
